Series Name,Series Code,Country Name,Country Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,18799444490.1128,19955929052.1496,14259995441.0759,14497243872.1337,17152234636.8715,..
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,15585111614.0376,15241458744.5927,18031989573.0294,19017247013.8821,23491242727.4082,27046429296.6673
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,193459662090.677,164873415325.201,186231205262.082,225581644702.568,247923887214.655,269322281664.773
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,647000000,721000000,750000000,871000000,..,..
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,3155150255.91195,2891002460.29153,3324648075.56293,3380611694.73392,3785065524.84754,4039842405.48117
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,80734428592.5368,58852456453.8769,79559543805.2963,131212208930.344,107167747140.127,100998916781.079
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,1726448148.14815,1411637037.03704,1602125925.92593,1866566666.66667,2005785185.18518,2207622874.07407
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,447754683615.225,385740508436.965,486564085480.036,633993756301.08,649461687959.174,638365455340.04
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,13619290539.2116,12641698583.2152,13878908628.9378,19513506553.1251,24185982215.6543,25955275380.0321
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,3346623191.45988,2471419181.71957,2880902798.92288,3324034443.26581,3834729616.12027,4265650673.00236
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,1398349602956.35,1333336461648.09,1560617493202.69,1695627535475.8,1734451264655.6,1757022451652.83
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,442983642371.842,434397601557.696,480466363176.806,473221298968.216,516670509628.876,534790720466.822
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,48174235294.1176,42693000000,54825411764.7059,78807470588.2353,72428470588.2353,74315882352.9412
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,13277000000,10363200000,12037000000,13896800000,15271300000,15832800000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,40446808510.6383,35837632978.7234,40840212765.9574,46458191489.3617,46192260638.2979,47109734308.5106
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,351231654603.692,373979442362.193,416271647911.014,460131689083.083,437415333018.291,450119432068.852
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,6161850000,5407050000,5947550000,6884900000,7223250000,7498050000
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,64410170653.4569,61371673344.7424,69673747131.87,73775179924.603,72478760370.4258,75961865471.9129
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,536726344405.489,529694473501.791,598522422241.851,591085783326.267,651330595110.011,671370081636.406
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,2381187850,2047284600,2428606250,2846604350,3052362650,3203631800
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,14391686313.4641,15686741883.934,17687623530.3355,17425405090.862,19673291004.1444,21482643706.4249
